  + Number of params: 9.11M
0 optim: 5e-05
epoch 000 batch 890, dist_emloss:3.34446382522583, dist_l2loss:4.1805806159973145, intensity_loss:0.3201948404312134, rgb_loss:0.9715719223022461, ambient_loss:0.0004847674863412976
epoch 000 batch 900, dist_emloss:1.8906773328781128, dist_l2loss:2.3633501529693604, intensity_loss:1.341792106628418, rgb_loss:0.3850967288017273, ambient_loss:0.0004631555057130754
epoch 000 batch 910, dist_emloss:2.553968906402588, dist_l2loss:3.1924619674682617, intensity_loss:0.288072794675827, rgb_loss:0.5883964896202087, ambient_loss:0.0006176462629809976
epoch 000 batch 920, dist_emloss:2.4823474884033203, dist_l2loss:3.102935791015625, intensity_loss:0.22778187692165375, rgb_loss:0.45568978786468506, ambient_loss:0.0007685428718104959
epoch 000 batch 930, dist_emloss:3.0126776695251465, dist_l2loss:3.765848159790039, intensity_loss:5.183295726776123, rgb_loss:1.0570088624954224, ambient_loss:0.0012921573361381888
epoch 000 batch 940, dist_emloss:2.5050647258758545, dist_l2loss:3.1313323974609375, intensity_loss:0.2319115698337555, rgb_loss:0.6655466556549072, ambient_loss:0.0008159773424267769
epoch 000 batch 950, dist_emloss:3.0493860244750977, dist_l2loss:3.8117334842681885, intensity_loss:0.14457480609416962, rgb_loss:1.0218536853790283, ambient_loss:0.0006484788609668612
epoch 000 batch 960, dist_emloss:2.506133556365967, dist_l2loss:3.1326680183410645, intensity_loss:0.6597853899002075, rgb_loss:0.8540535569190979, ambient_loss:0.0005200905725359917
epoch 000 batch 970, dist_emloss:2.009206533432007, dist_l2loss:2.5115087032318115, intensity_loss:25.81818962097168, rgb_loss:1.3457014560699463, ambient_loss:0.0007672861102037132
epoch 000 batch 980, dist_emloss:3.1806042194366455, dist_l2loss:3.9757564067840576, intensity_loss:0.17917011678218842, rgb_loss:0.7803964614868164, ambient_loss:0.000580701045691967
epoch 000 batch 990, dist_emloss:2.2465176582336426, dist_l2loss:2.808149576187134, intensity_loss:0.2019989937543869, rgb_loss:1.6430832147598267, ambient_loss:0.0003194012679159641
epoch 000 batch 1000, dist_emloss:2.983464479446411, dist_l2loss:3.7293317317962646, intensity_loss:0.1337002068758011, rgb_loss:0.2434806227684021, ambient_loss:0.000759821617975831
saving the latest model
epoch 000 batch 1010, dist_emloss:2.2873682975769043, dist_l2loss:2.8592112064361572, intensity_loss:0.3111684024333954, rgb_loss:0.4591759443283081, ambient_loss:0.0004503332020249218
epoch 000 batch 1020, dist_emloss:3.3079674243927, dist_l2loss:4.134961128234863, intensity_loss:0.7007700204849243, rgb_loss:1.4543356895446777, ambient_loss:0.0012558531016111374
epoch 000 batch 1030, dist_emloss:4.785225868225098, dist_l2loss:5.981534481048584, intensity_loss:0.9967485666275024, rgb_loss:3.924269676208496, ambient_loss:0.027650687843561172
epoch 000 batch 1040, dist_emloss:4.621528625488281, dist_l2loss:5.776909828186035, intensity_loss:2.556903123855591, rgb_loss:2.7807698249816895, ambient_loss:0.17675507068634033
epoch 000 batch 1050, dist_emloss:3.3246004581451416, dist_l2loss:4.155745506286621, intensity_loss:3.7089951038360596, rgb_loss:1.7693854570388794, ambient_loss:0.23820841312408447
epoch 000 batch 1060, dist_emloss:4.499855995178223, dist_l2loss:5.624821186065674, intensity_loss:2.2771518230438232, rgb_loss:2.098025321960449, ambient_loss:0.27173376083374023
epoch 000 batch 1070, dist_emloss:3.2815122604370117, dist_l2loss:4.101889133453369, intensity_loss:6.737317085266113, rgb_loss:2.0207033157348633, ambient_loss:0.3600245416164398
epoch 000 batch 1080, dist_emloss:3.552034378051758, dist_l2loss:4.440044403076172, intensity_loss:4.078246116638184, rgb_loss:1.1576459407806396, ambient_loss:0.25203701853752136
epoch 000 batch 1090, dist_emloss:4.140445709228516, dist_l2loss:5.175558090209961, intensity_loss:4.169860363006592, rgb_loss:0.6125413179397583, ambient_loss:0.26959824562072754
epoch 000 batch 1100, dist_emloss:3.60749888420105, dist_l2loss:4.50937557220459, intensity_loss:4.463032245635986, rgb_loss:1.1867659091949463, ambient_loss:0.271773099899292
epoch 000 batch 1110, dist_emloss:3.1824755668640137, dist_l2loss:3.9780960083007812, intensity_loss:4.083710193634033, rgb_loss:1.1678603887557983, ambient_loss:0.2318955659866333
epoch 000 batch 1120, dist_emloss:2.9421160221099854, dist_l2loss:3.6776511669158936, intensity_loss:4.491842269897461, rgb_loss:0.38124242424964905, ambient_loss:0.213706374168396
epoch 000 batch 1130, dist_emloss:3.695143938064575, dist_l2loss:4.618931293487549, intensity_loss:4.666691303253174, rgb_loss:1.1583006381988525, ambient_loss:0.23618865013122559
epoch 000 batch 1140, dist_emloss:3.145197868347168, dist_l2loss:3.9314990043640137, intensity_loss:3.923970937728882, rgb_loss:0.903630793094635, ambient_loss:0.2317797839641571
epoch 000 batch 1150, dist_emloss:3.425421714782715, dist_l2loss:4.281778335571289, intensity_loss:3.3657872676849365, rgb_loss:0.6268033981323242, ambient_loss:0.2093411087989807
epoch 000 batch 1160, dist_emloss:3.1910479068756104, dist_l2loss:3.9888112545013428, intensity_loss:3.9129509925842285, rgb_loss:0.5687445402145386, ambient_loss:0.222305029630661
epoch 000 batch 1170, dist_emloss:2.5536749362945557, dist_l2loss:3.192094087600708, intensity_loss:1.5050047636032104, rgb_loss:0.47772690653800964, ambient_loss:0.20733642578125
epoch 000 batch 1180, dist_emloss:3.4290597438812256, dist_l2loss:4.286325454711914, intensity_loss:3.85144305229187, rgb_loss:0.7776784896850586, ambient_loss:0.17865687608718872
epoch 000 batch 1190, dist_emloss:2.515929698944092, dist_l2loss:3.1449131965637207, intensity_loss:3.858574628829956, rgb_loss:0.7517046928405762, ambient_loss:0.1873328536748886
